Author,Xie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,10.1016/j.jallcom.2013.09.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Figure 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,,,,,,,,,,,,,,,,,
Temp (K),273,,273,,283,,283,,293,,293,,298,,298,,,,,,,,,,,,,,,,,
,wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),wt %,eq pressure (bar),,,,,,,,,,,,,,,,
,1.08E+00,3.66E+01,1.08E+00,36.62078745,1.06E+00,41.78561377,1.05E+00,38.48982904,1.03E+00,42.49710785,1.05E+00,42.48618813,1.03E+00,45.3857632,1.03E+00,41.80602147,,,,,,,,,,,,,,,,
,1.08E+00,3.16E+01,1.07E+00,30.06400777,1.03E+00,32.66264414,1.05E+00,29.10088857,1.00E+00,34.90165186,1.02E+00,29.5986785,1.01E+00,38.51852452,1.01E+00,32.67271826,,,,,,,,,,,,,,,,
,1.08E+00,2.31E+01,1.08E+00,23.10734242,1.01E+00,26.38663008,1.03E+00,21.65221008,9.72E-01,30.11426872,9.81E-01,21.66946626,9.63E-01,32.70043812,9.86E-01,25.12467464,,,,,,,,,,,,,,,,
,1.05E+00,1.87E+01,1.07E+00,17.76361083,9.39E-01,21.33077803,9.89E-01,17.49585891,9.22E-01,27.75972622,9.38E-01,17.22505885,9.00E-01,29.65806804,9.36E-01,19.64783635,,,,,,,,,,,,,,,,
,1.02E+00,1.58E+01,1.06E+00,13.88174928,8.58E-01,17.53366755,9.41E-01,14.61200531,8.45E-01,25.18285186,8.75E-01,14.6277851,8.14E-01,27.3553585,8.59E-01,15.37158851,,,,,,,,,,,,,,,,
,9.70E-01,1.39E+01,1.04E+00,11.39863057,7.75E-01,16.71228042,8.69E-01,12.00905762,7.52E-01,22.1121869,7.89E-01,11.63569719,7.16E-01,24.41999303,6.86E-01,10.38793008,,,,,,,,,,,,,,,,
,9.05E-01,1.16E+01,1.02E+00,9.360405063,6.97E-01,14.67070191,7.89E-01,9.395832541,6.69E-01,19.73436763,7.05E-01,9.884768846,6.38E-01,21.08714853,6.11E-01,8.261610808,,,,,,,,,,,,,,,,
,8.31E-01,1.09E+01,9.70E-01,7.689999991,6.14E-01,12.66941892,7.02E-01,7.852154555,5.86E-01,17.04233186,6.28E-01,8.396239562,5.58E-01,17.91259399,5.58E-01,6.677087286,,,,,,,,,,,,,,,,
,7.23E-01,9.10E+00,8.88E-01,6.532648422,5.34E-01,10.41385694,6.22E-01,6.561250323,5.13E-01,13.55356589,5.78E-01,6.047624551,4.84E-01,14.24567512,5.20E-01,5.575495661,,,,,,,,,,,,,,,,
,6.30E-01,8.12E+00,8.31E-01,5.827617938,4.72E-01,8.699346054,5.78E-01,5.662567511,4.44E-01,10.25926083,5.42E-01,5.305162129,4.28E-01,11.14145638,4.89E-01,4.579229509,,,,,,,,,,,,,,,,
,5.48E-01,6.57E+00,7.75E-01,5.198677265,4.25E-01,7.385720307,5.42E-01,4.728230724,3.89E-01,8.291814039,5.13E-01,4.653372909,3.75E-01,8.713217828,4.59E-01,3.82325298,,,,,,,,,,,,,,,,
,4.80E-01,5.40E+00,7.13E-01,4.793193923,3.70E-01,5.681954712,5.05E-01,3.948163137,3.31E-01,5.973176628,4.67E-01,3.407039998,3.25E-01,6.593365372,4.16E-01,3.299588805,,,,,,,,,,,,,,,,
,4.14E-01,4.22E+00,6.50E-01,4.41933723,3.36E-01,4.744297069,4.63E-01,3.243262816,2.81E-01,4.907363341,4.20E-01,2.753308723,2.67E-01,5.417585868,3.73E-01,2.801125643,,,,,,,,,,,,,,,,
,3.59E-01,3.14E+00,5.98E-01,3.877774847,2.91E-01,3.473611549,4.20E-01,2.413859864,2.39E-01,4.098058229,3.69E-01,2.376498256,2.09E-01,4.378865514,3.33E-01,2.417336188,,,,,,,,,,,,,,,,
,3.28E-01,2.42E+00,5.64E-01,3.45802497,2.42E-01,2.998068268,3.89E-01,2.082809518,2.06E-01,3.478435291,3.30E-01,2.050835392,1.73E-01,3.716975788,2.95E-01,2.120616096,,,,,,,,,,,,,,,,
,2.91E-01,1.92E+00,5.23E-01,2.935551691,2.03E-01,2.673748388,3.48E-01,1.768117655,1.81E-01,2.903962952,2.80E-01,1.657413239,1.45E-01,3.002848918,2.25E-01,1.50301836,,,,,,,,,,,,,,,,
,2.50E-01,1.63E+00,4.97E-01,2.532758316,1.64E-01,2.160441001,3.05E-01,1.476563852,1.50E-01,2.505697106,2.22E-01,1.275140488,1.20E-01,2.466026663,1.78E-01,0.997074659,,,,,,,,,,,,,,,,
,2.00E-01,1.30E+00,4.80E-01,2.114195233,1.31E-01,1.66146452,2.55E-01,1.173841272,1.20E-01,1.864529231,1.88E-01,0.903240851,1.00E-01,1.959489123,1.53E-01,0.683314341,,,,,,,,,,,,,,,,
,1.63E-01,1.08E+00,4.53E-01,1.680098799,1.11E-01,1.138545645,2.14E-01,0.933038477,9.84E-02,1.34235784,1.66E-01,0.661067088,8.13E-02,1.257244206,1.38E-01,0.438404497,,,,,,,,,,,,,,,,
,1.25E-01,8.89E-01,4.36E-01,1.334927222,8.91E-02,0.695378057,1.72E-01,0.598885433,7.97E-02,0.718743054,1.55E-01,0.475846104,7.03E-02,0.673083891,1.27E-01,0.295477594,,,,,,,,,,,,,,,,
,1.05E-01,6.62E-01,3.78E-01,1.010280486,6.88E-02,0.209381111,1.56E-01,0.384236143,5.00E-02,0.20944569,1.33E-01,0.219739677,5.63E-02,0.199341726,1.25E-01,0.202418406,,,,,,,,,,,,,,,,
,8.59E-02,4.39E-01,3.36E-01,0.886340198,,,1.48E-01,0.276564781,,,1.20E-01,0.127727227,,,1.14E-01,0.148120046,,,,,,,,,,,,,,,,
,6.88E-02,2.13E-01,2.66E-01,0.716548408,,,1.36E-01,0.183364278,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.16E-01,0.560350574,,,1.34E-01,0.125614617,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.81E-01,0.403504344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.55E-01,0.305217461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.34E-01,0.246545637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.20E-01,0.183411406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
